project_name,project_link
bkromhout-realm-java,https://github.com/bkromhout/realm-java
btraceio-btrace,https://github.com/btraceio/btrace
bytedeco-javacpp,https://github.com/bytedeco/javacpp
codecentric-spring-boot-admin,https://github.com/codecentric/spring-boot-admin
codenvy-legacy-che-plugins,https://github.com/codenvy-legacy/che-plugins
coobird-thumbnailator,https://github.com/coobird/thumbnailator
dropwizard-dropwizard,https://github.com/dropwizard/dropwizard
dropwizard-metrics,https://github.com/dropwizard/metrics
evant-gradle-retrolambda,https://github.com/evant/gradle-retrolambda
facebook-facebook-android-sdk,https://github.com/facebook/facebook-android-sdk
facebook-facebook-java-business-sdk,https://github.com/facebook/facebook-java-business-sdk
facebook-fresco,https://github.com/facebook/fresco
facebook-litho,https://github.com/facebook/litho
facebook-react-native-fbsdk,https://github.com/facebookarchive/react-native-fbsdk
google-cdep,https://github.com/google/cdep
google-dagger,https://github.com/google/dagger
google-error-prone,https://github.com/google/error-prone
google-gitiles,https://github.com/google/gitiles
google-openrtb,https://github.com/google/openrtb
google-openrtb-doubleclick,https://github.com/google/openrtb-doubleclick
grpc-grpc-java,https://github.com/grpc/grpc-java
havarunner-havarunner,https://github.com/havarunner/havarunner
immutables-immutables,https://github.com/immutables/immutables
ionic-team-capacitor,https://github.com/ionic-team/capacitor
jankotek-mapdb,https://github.com/jankotek/mapdb
javafunk-funk,https://github.com/javafunk/funk
javaparser-javaparser,https://github.com/javaparser/javaparser
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher
pxb1988-dex2jar,https://github.com/pxb1988/dex2jar
web3j-web3j,https://github.com/web3j/web3j