project_name,project_version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
Alluxio,v2.5.0-1,21960.0,28831.0,3419.0,41598.0,82297.0,17037.0,1644.0,13264.0,1927.0,576.0,112.0,116.0,131.0,281.0,7906.0,3130.0,1253.0,6241.0,300.0,0.0,4928.0,0.0,14292.0,218317.0,9763.0,2457.0,1748.0,2234.0,1406.0,21718.0,13299.0,29791.0,5057.0,25907.0,2174.0,301.0,445.0,1262.0,160728.0,116142.0
Alluxio,v2.5.0-2,22094.0,29076.0,3442.0,41849.0,82257.0,17143.0,1654.0,13364.0,1947.0,565.0,113.0,117.0,131.0,286.0,7975.0,3158.0,1278.0,6290.0,294.0,0.0,4981.0,0.0,14436.0,220075.0,9854.0,2466.0,1776.0,2266.0,1424.0,21944.0,13462.0,30002.0,5099.0,26100.0,2190.0,305.0,447.0,1290.0,161835.0,116206.0
Alluxio,v2.5.0-3,22168.0,29202.0,3448.0,42076.0,82587.0,17198.0,1660.0,13417.0,1949.0,563.0,113.0,117.0,131.0,287.0,8030.0,3185.0,1279.0,6343.0,295.0,0.0,5022.0,0.0,14514.0,221276.0,9895.0,2476.0,1781.0,2278.0,1431.0,22049.0,13564.0,30173.0,5131.0,26256.0,2202.0,309.0,447.0,1339.0,162548.0,116164.0
Alluxio,v2.5.0-RC0,21887.0,28598.0,3400.0,41458.0,80965.0,16889.0,1626.0,13165.0,1922.0,581.0,112.0,118.0,131.0,280.0,7877.0,3120.0,1246.0,6217.0,304.0,0.0,4890.0,0.0,14217.0,217204.0,9691.0,2451.0,1741.0,2219.0,1397.0,21584.0,13197.0,29696.0,5028.0,25827.0,2168.0,299.0,448.0,1257.0,159993.0,117139.0
Alluxio,v2.5.0-RC1,21891.0,28609.0,3400.0,41472.0,81088.0,16891.0,1626.0,13166.0,1923.0,581.0,112.0,118.0,131.0,280.0,7877.0,3120.0,1246.0,6217.0,304.0,0.0,4890.0,0.0,14222.0,217284.0,9692.0,2454.0,1743.0,2222.0,1398.0,21596.0,13209.0,29705.0,5031.0,25833.0,2169.0,299.0,448.0,1258.0,160030.0,117139.0
Alluxio,v2.5.0-RC2,21891.0,28609.0,3400.0,41472.0,81088.0,16891.0,1626.0,13166.0,1923.0,581.0,112.0,118.0,131.0,280.0,7877.0,3120.0,1246.0,6217.0,304.0,0.0,4890.0,0.0,14222.0,217284.0,9692.0,2454.0,1743.0,2222.0,1398.0,21596.0,13209.0,29705.0,5031.0,25833.0,2169.0,299.0,448.0,1258.0,160030.0,117139.0
Alluxio,v2.5.0,21894.0,28614.0,3401.0,41476.0,81090.0,16896.0,1626.0,13171.0,1923.0,581.0,112.0,118.0,131.0,280.0,7885.0,3124.0,1250.0,6221.0,304.0,0.0,4898.0,0.0,14222.0,217336.0,9692.0,2454.0,1743.0,2222.0,1398.0,21604.0,13209.0,29713.0,5034.0,25841.0,2169.0,299.0,447.0,1258.0,160071.0,117155.0
Alluxio,v2.6.0-RC0,22418.0,29600.0,3479.0,42551.0,83551.0,17359.0,1676.0,13528.0,1981.0,565.0,113.0,117.0,131.0,301.0,8181.0,3261.0,1312.0,6451.0,295.0,0.0,5130.0,0.0,14676.0,224636.0,10007.0,2509.0,1811.0,2322.0,1453.0,22109.0,13913.0,30671.0,5249.0,26671.0,2227.0,318.0,457.0,1398.0,164558.0,116216.0
Alluxio,v2.6.0-RC1,22415.0,29609.0,3482.0,42564.0,83553.0,17364.0,1676.0,13532.0,1982.0,565.0,113.0,117.0,131.0,301.0,8176.0,3259.0,1310.0,6448.0,295.0,0.0,5125.0,0.0,14680.0,224633.0,10009.0,2511.0,1811.0,2320.0,1454.0,22104.0,13934.0,30664.0,5248.0,26666.0,2229.0,317.0,456.0,1396.0,164580.0,116234.0
Alluxio,v2.6.0-RC2,22415.0,29609.0,3482.0,42564.0,83553.0,17364.0,1676.0,13532.0,1982.0,565.0,113.0,117.0,131.0,301.0,8176.0,3259.0,1310.0,6448.0,295.0,0.0,5125.0,0.0,14679.0,224657.0,10009.0,2511.0,1811.0,2320.0,1454.0,22128.0,13935.0,30664.0,5255.0,26666.0,2229.0,317.0,456.0,1396.0,164643.0,116234.0
Alluxio,v2.6.0,22415.0,29609.0,3482.0,42564.0,83553.0,17364.0,1676.0,13532.0,1982.0,565.0,113.0,117.0,131.0,301.0,8176.0,3259.0,1310.0,6448.0,295.0,0.0,5125.0,0.0,14679.0,224657.0,10009.0,2511.0,1811.0,2320.0,1454.0,22128.0,13935.0,30664.0,5255.0,26666.0,2229.0,317.0,456.0,1396.0,164643.0,116234.0
Alluxio,v2.6.1,22534.0,29906.0,3507.0,42973.0,83933.0,17540.0,1680.0,13683.0,1997.0,567.0,116.0,117.0,131.0,301.0,8267.0,3299.0,1327.0,6522.0,295.0,0.0,5194.0,0.0,14826.0,227455.0,10105.0,2524.0,1830.0,2335.0,1452.0,22478.0,14149.0,31032.0,5322.0,26989.0,2251.0,308.0,469.0,1429.0,165963.0,116327.0
Beam,v2.27.0-RC3,66548.0,42774.0,8729.0,87901.0,132494.0,28579.0,5628.0,20312.0,4479.0,483.0,57.0,609.0,83.0,141.0,11343.0,4911.0,1850.0,8620.0,121.0,0.0,7834.0,0.0,52257.0,597353.0,14449.0,3333.0,2301.0,1734.0,1594.0,53671.0,35885.0,53087.0,5467.0,49465.0,2703.0,2151.0,5025.0,3108.0,346644.0,269439.0
Beam,v2.27.0-RC4,66548.0,42774.0,8729.0,87901.0,132494.0,28579.0,5628.0,20312.0,4479.0,483.0,57.0,609.0,83.0,141.0,11343.0,4911.0,1850.0,8620.0,121.0,0.0,7834.0,0.0,52257.0,597353.0,14449.0,3333.0,2301.0,1734.0,1594.0,53671.0,35885.0,53087.0,5467.0,49465.0,2703.0,2151.0,5025.0,3108.0,346644.0,269439.0
Beam,v2.27.0,66548.0,42774.0,8729.0,87901.0,132494.0,28579.0,5628.0,20312.0,4479.0,483.0,57.0,609.0,83.0,141.0,11343.0,4911.0,1850.0,8620.0,121.0,0.0,7834.0,0.0,52257.0,597353.0,14449.0,3333.0,2301.0,1734.0,1594.0,53671.0,35885.0,53087.0,5467.0,49465.0,2703.0,2151.0,5025.0,3108.0,346644.0,269439.0
Beam,v2.28.0-RC1,67226.0,43568.0,8824.0,88950.0,135816.0,28988.0,5698.0,20641.0,4522.0,462.0,60.0,604.0,83.0,151.0,11525.0,5001.0,1870.0,8776.0,118.0,0.0,7978.0,0.0,52739.0,605474.0,14732.0,3385.0,2354.0,1762.0,1622.0,54198.0,36259.0,53840.0,5534.0,50060.0,2752.0,2165.0,5103.0,3169.0,350339.0,267544.0
Beam,v2.28.0,67226.0,43568.0,8824.0,88950.0,135816.0,28988.0,5698.0,20641.0,4522.0,462.0,60.0,604.0,83.0,151.0,11525.0,5001.0,1870.0,8776.0,118.0,0.0,7978.0,0.0,52739.0,605474.0,14732.0,3385.0,2354.0,1762.0,1622.0,54198.0,36259.0,53840.0,5534.0,50060.0,2752.0,2165.0,5103.0,3169.0,350339.0,267544.0
Beam,v2.29.0-RC1,68702.0,44647.0,8950.0,91401.0,137347.0,29581.0,5858.0,20985.0,4643.0,474.0,61.0,608.0,83.0,152.0,11852.0,5205.0,1909.0,9031.0,118.0,0.0,8275.0,0.0,53890.0,618265.0,15101.0,3457.0,2418.0,1802.0,1681.0,55047.0,37006.0,55105.0,5712.0,51229.0,2823.0,2216.0,5170.0,3407.0,357146.0,268701.0
Beam,v2.29.0,68702.0,44647.0,8950.0,91401.0,137347.0,29581.0,5858.0,20985.0,4643.0,474.0,61.0,608.0,83.0,152.0,11852.0,5205.0,1909.0,9031.0,118.0,0.0,8275.0,0.0,53890.0,618265.0,15101.0,3457.0,2418.0,1802.0,1681.0,55047.0,37006.0,55105.0,5712.0,51229.0,2823.0,2216.0,5170.0,3407.0,357146.0,268701.0
Beam,v2.30.0-RC1,69504.0,45344.0,9052.0,92686.0,139977.0,29986.0,5909.0,21264.0,4715.0,493.0,64.0,614.0,83.0,162.0,12011.0,5276.0,1927.0,9160.0,122.0,0.0,8423.0,0.0,54573.0,626708.0,15332.0,3523.0,2461.0,1837.0,1720.0,55806.0,37530.0,56099.0,5797.0,52141.0,2869.0,2239.0,5236.0,3518.0,361435.0,270795.0
Beam,v2.30.0,69504.0,45344.0,9052.0,92686.0,139977.0,29986.0,5909.0,21264.0,4715.0,493.0,64.0,614.0,83.0,162.0,12011.0,5276.0,1927.0,9160.0,122.0,0.0,8423.0,0.0,54573.0,626708.0,15332.0,3523.0,2461.0,1837.0,1720.0,55806.0,37530.0,56099.0,5797.0,52141.0,2869.0,2239.0,5236.0,3518.0,361435.0,270795.0
Beam,v2.31.0-RC1,69998.0,45599.0,9104.0,93221.0,141769.0,30177.0,5935.0,21415.0,4726.0,499.0,64.0,614.0,83.0,162.0,12092.0,5304.0,1939.0,9217.0,122.0,0.0,8477.0,0.0,54899.0,630609.0,15410.0,3537.0,2473.0,1843.0,1728.0,56028.0,37655.0,56358.0,5818.0,52398.0,2887.0,2253.0,5271.0,3542.0,363536.0,270813.0
Beam,v2.31.0,69998.0,45599.0,9104.0,93221.0,141769.0,30177.0,5935.0,21415.0,4726.0,499.0,64.0,614.0,83.0,162.0,12092.0,5304.0,1939.0,9217.0,122.0,0.0,8477.0,0.0,54899.0,630609.0,15410.0,3537.0,2473.0,1843.0,1728.0,56028.0,37655.0,56358.0,5818.0,52398.0,2887.0,2253.0,5271.0,3542.0,363536.0,270813.0
Beam,website-to-hugo,61931.0,38600.0,7961.0,81272.0,115492.0,25831.0,5066.0,18474.0,4127.0,392.0,45.0,505.0,82.0,125.0,10269.0,4391.0,1698.0,7813.0,109.0,0.0,7145.0,0.0,47925.0,535579.0,12957.0,3156.0,1984.0,1661.0,1450.0,45634.0,32836.0,48858.0,4972.0,45598.0,2534.0,2071.0,4689.0,2655.0,319593.0,234077.0
Camel,camel-3.10.0,158977.0,227995.0,46231.0,226517.0,1675576.0,106167.0,7951.0,78655.0,6405.0,14547.0,207.0,431.0,165.0,321.0,36419.0,9951.0,2753.0,27912.0,2727.0,0.0,12554.0,0.0,51354.0,1380542.0,95906.0,4460.0,7736.0,5033.0,2491.0,257536.0,48293.0,128249.0,13344.0,112184.0,8217.0,9961.0,4628.0,6654.0,948899.0,501621.0
Camel,camel-3.11.0,159881.0,228819.0,46530.0,227757.0,1682077.0,106566.0,7948.0,78966.0,6432.0,14619.0,208.0,431.0,163.0,320.0,36725.0,10094.0,2774.0,28155.0,2731.0,0.0,12724.0,0.0,51519.0,1383313.0,96247.0,4468.0,7698.0,5045.0,2307.0,258691.0,48489.0,128885.0,13327.0,112772.0,8258.0,10011.0,4591.0,6688.0,952547.0,502872.0
Camel,camel-3.11.1,160105.0,228927.0,46579.0,227894.0,1682180.0,106633.0,7968.0,78995.0,6438.0,14632.0,208.0,431.0,163.0,323.0,36737.0,10099.0,2774.0,28164.0,2734.0,0.0,12732.0,0.0,51549.0,1389178.0,96285.0,4471.0,7705.0,5060.0,2312.0,258825.0,48514.0,128979.0,13336.0,112855.0,8272.0,10022.0,4679.0,6693.0,957188.0,502913.0
Camel,camel-3.6.0,157942.0,198751.0,45438.0,223193.0,1579873.0,103354.0,7675.0,76980.0,6203.0,14206.0,107.0,409.0,164.0,324.0,36322.0,10182.0,2510.0,27995.0,2675.0,0.0,12670.0,0.0,50232.0,1348323.0,80392.0,4311.0,7406.0,5047.0,2482.0,239399.0,47217.0,126147.0,13221.0,111101.0,8261.0,10044.0,4586.0,6301.0,931634.0,477955.0
Camel,camel-3.7.0,159717.0,227041.0,45826.0,225527.0,1640518.0,105493.0,7831.0,78614.0,6395.0,14262.0,125.0,418.0,164.0,322.0,36205.0,9690.0,2539.0,27773.0,2674.0,0.0,12175.0,0.0,51550.0,1384866.0,95408.0,4405.0,7732.0,5074.0,2526.0,256620.0,48234.0,127731.0,13310.0,112134.0,8231.0,10114.0,4746.0,6382.0,949073.0,485668.0
Camel,camel-3.7.1,159760.0,227161.0,45833.0,225791.0,1640562.0,105561.0,7820.0,78674.0,6408.0,14266.0,127.0,418.0,164.0,322.0,36224.0,9692.0,2539.0,27785.0,2673.0,0.0,12189.0,0.0,51580.0,1382506.0,95420.0,4419.0,7737.0,5081.0,2530.0,257017.0,48275.0,127858.0,13338.0,112244.0,8242.0,10127.0,4672.0,6391.0,948873.0,485668.0
Camel,camel-3.7.2,159994.0,228217.0,45908.0,226280.0,1641053.0,105632.0,7833.0,78722.0,6408.0,14276.0,128.0,418.0,164.0,322.0,36237.0,9696.0,2539.0,27795.0,2675.0,0.0,12192.0,0.0,51747.0,1387058.0,95935.0,4431.0,7743.0,5081.0,2532.0,258193.0,48349.0,127947.0,13349.0,112313.0,8246.0,10148.0,4728.0,6392.0,951596.0,485692.0
Camel,camel-3.7.3,160031.0,228284.0,45921.0,226464.0,1641103.0,105666.0,7824.0,78745.0,6409.0,14292.0,128.0,418.0,164.0,322.0,36251.0,9701.0,2539.0,27809.0,2675.0,0.0,12199.0,0.0,51776.0,1384927.0,95943.0,4437.0,7745.0,5086.0,2532.0,258500.0,48411.0,128013.0,13356.0,112374.0,8255.0,10169.0,4669.0,6401.0,949549.0,485690.0
Camel,camel-3.7.4,160044.0,228330.0,45926.0,226555.0,1641294.0,105681.0,7825.0,78754.0,6413.0,14297.0,128.0,418.0,164.0,322.0,36263.0,9702.0,2539.0,27820.0,2675.0,0.0,12206.0,0.0,51799.0,1382643.0,95960.0,4437.0,7747.0,5087.0,2532.0,258553.0,48421.0,128054.0,13356.0,112413.0,8255.0,10172.0,4637.0,6402.0,947802.0,485690.0
Camel,camel-3.7.5,160275.0,228417.0,45981.0,226684.0,1641851.0,105736.0,7843.0,78778.0,6415.0,14306.0,128.0,418.0,164.0,322.0,36281.0,9711.0,2539.0,27837.0,2676.0,0.0,12216.0,0.0,51812.0,1390060.0,95998.0,4440.0,7748.0,5089.0,2532.0,258696.0,48449.0,128129.0,13361.0,112485.0,8257.0,10183.0,4756.0,6409.0,953926.0,485715.0
Camel,camel-3.8.0,162162.0,232345.0,46584.0,229993.0,1673230.0,107576.0,7947.0,80108.0,6530.0,14511.0,195.0,422.0,165.0,323.0,36890.0,9892.0,2702.0,28188.0,2715.0,0.0,12447.0,0.0,52453.0,1397253.0,97435.0,4480.0,7878.0,5172.0,2531.0,262107.0,48596.0,129793.0,13555.0,113954.0,8344.0,10159.0,4599.0,6414.0,959603.0,501536.0
Camel,camel-3.9.0,156378.0,225352.0,45735.0,222991.0,1653405.0,104789.0,7887.0,77677.0,6280.0,14413.0,209.0,427.0,164.0,321.0,35877.0,9768.0,2694.0,27477.0,2705.0,0.0,12352.0,0.0,50625.0,1361820.0,94674.0,4454.0,7696.0,5060.0,2519.0,253519.0,47770.0,126287.0,13200.0,110573.0,8180.0,9835.0,4597.0,6422.0,936209.0,502066.0
Cxf,cxf-3.3.10,70421.0,106451.0,13801.0,123288.0,425065.0,51729.0,5309.0,38266.0,6277.0,4377.0,17.0,276.0,578.0,254.0,17991.0,7534.0,3085.0,11614.0,1229.0,0.0,8102.0,0.0,32186.0,684159.0,28547.0,5712.0,10210.0,5859.0,4785.0,89511.0,26455.0,113238.0,10687.0,94172.0,7441.0,780.0,1640.0,615.0,355786.0,359952.0
Cxf,cxf-3.3.11,70558.0,106561.0,13824.0,123402.0,427592.0,51813.0,5318.0,38340.0,6283.0,4380.0,17.0,276.0,578.0,254.0,18013.0,7540.0,3087.0,11634.0,1229.0,0.0,8113.0,0.0,32254.0,685421.0,28593.0,5712.0,10221.0,5862.0,4786.0,89674.0,26494.0,113353.0,10709.0,94286.0,7449.0,781.0,1646.0,630.0,356293.0,359971.0
Cxf,cxf-3.3.5,68884.0,104983.0,13533.0,121263.0,420209.0,50691.0,5243.0,37456.0,6193.0,4335.0,17.0,273.0,578.0,253.0,17598.0,7419.0,3010.0,11329.0,1203.0,0.0,7942.0,0.0,31653.0,671304.0,28098.0,5651.0,10112.0,5775.0,4750.0,87493.0,25943.0,111775.0,10471.0,92737.0,7354.0,760.0,1567.0,361.0,348564.0,357599.0
Cxf,cxf-3.3.6,69025.0,105148.0,13547.0,121498.0,421459.0,50795.0,5268.0,37532.0,6206.0,4341.0,17.0,273.0,578.0,253.0,17618.0,7428.0,3011.0,11348.0,1201.0,0.0,7950.0,0.0,31791.0,672580.0,28148.0,5660.0,10125.0,5793.0,4751.0,87691.0,26028.0,111904.0,10497.0,92839.0,7364.0,764.0,1569.0,377.0,349139.0,357644.0
Cxf,cxf-3.3.7,69315.0,105497.0,13589.0,121930.0,423265.0,51054.0,5282.0,37720.0,6219.0,4348.0,17.0,273.0,578.0,252.0,17660.0,7440.0,3019.0,11382.0,1198.0,0.0,7969.0,0.0,31947.0,675124.0,28231.0,5672.0,10141.0,5829.0,4759.0,88001.0,26170.0,112179.0,10540.0,93109.0,7382.0,774.0,1578.0,450.0,350216.0,357684.0
