0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
algo_cosine_average_10,feature_stringLiteralsQty_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_publicMethods_mean,feature_abstractMethods_mean,feature_anonymousClassesQty_mean,feature_returnQty_mean,feature_mathOperationsQty_mean,feature_protectedFields_mean,feature_maxNestedBlocks_std,feature_totalMethods_mean,feature_assignmentsQty_mean,feature_wmc_mean,feature_dit_mean,feature_loopQty_mean,feature_uniqueWordsQty_mean,feature_loc_mean,feature_variablesQty_mean,feature_subClassesQty_mean,feature_anonymousClassesQty_std
algo_cosine_average_15,feature_maxNestedBlocks_mean,feature_staticMethods_mean,feature_returnQty_mean,feature_dit_mean,feature_totalMethods_mean,feature_publicMethods_mean,feature_maxNestedBlocks_std,feature_uniqueWordsQty_mean,feature_modifiers_std,feature_anonymousClassesQty_mean,feature_wmc_mean,feature_modifiers_max,feature_loc_mean,feature_rfc_mean,feature_modifiers_mean,feature_cbo_mean,feature_subClassesQty_mean,feature_abstractMethods_mean,feature_loopQty_mean,feature_protectedFields_mean
algo_cosine_average_20,feature_maxNestedBlocks_std,feature_maxNestedBlocks_mean,feature_totalMethods_mean,feature_returnQty_mean,feature_publicMethods_mean,feature_staticMethods_mean,feature_loc_mean,feature_wmc_mean,feature_uniqueWordsQty_mean,feature_rfc_mean,feature_assignmentsQty_mean,feature_uniqueWordsQty_std,feature_variablesQty_mean,feature_anonymousClassesQty_mean,feature_publicMethods_std,feature_totalFields_mean,feature_privateMethods_mean,feature_protectedFields_mean,feature_maxNestedBlocks_max,feature_totalMethods_std
algo_cosine_average_25,feature_maxNestedBlocks_std,feature_totalMethods_mean,feature_rfc_mean,feature_publicMethods_mean,feature_wmc_mean,feature_returnQty_mean,feature_maxNestedBlocks_mean,feature_assignmentsQty_mean,feature_nosi_mean,feature_variablesQty_mean,feature_staticMethods_mean,feature_maxNestedBlocks_max,feature_protectedFields_mean,feature_loopQty_mean,feature_uniqueWordsQty_mean,feature_rfc_std,feature_totalMethods_std,feature_numbersQty_mean,feature_uniqueWordsQty_std,feature_tryCatchQty_mean
algo_cosine_average_5,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_mean,feature_anonymousClassesQty_std,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_publicMethods_mean,feature_anonymousClassesQty_max,feature_protectedFields_mean,feature_loc_mean,feature_subClassesQty_mean,feature_mathOperationsQty_mean,feature_abstractMethods_mean,feature_staticMethods_std,feature_returnQty_mean,feature_dit_mean,feature_maxNestedBlocks_std,feature_tryCatchQty_mean,feature_loopQty_mean,feature_totalMethods_mean,feature_stringLiteralsQty_std
algo_cosine_average_7,feature_stringLiteralsQty_mean,feature_maxNestedBlocks_mean,feature_staticMethods_mean,feature_anonymousClassesQty_mean,feature_abstractMethods_mean,feature_publicMethods_mean,feature_returnQty_mean,feature_protectedFields_mean,feature_mathOperationsQty_mean,feature_maxNestedBlocks_std,feature_anonymousClassesQty_std,feature_loc_mean,feature_wmc_mean,feature_totalMethods_mean,feature_dit_mean,feature_loopQty_mean,feature_assignmentsQty_mean,feature_subClassesQty_mean,feature_stringLiteralsQty_std,feature_abstractMethods_std
algo_cosine_complete_10,feature_subClassesQty_mean,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_mean,feature_cbo_mean,feature_uniqueWordsQty_mean,feature_staticMethods_mean,feature_subClassesQty_std,feature_maxNestedBlocks_mean,feature_anonymousClassesQty_std,feature_subClassesQty_sum,feature_privateFields_mean,feature_anonymousClassesQty_sum,feature_subClassesQty_max,feature_loc_mean,feature_dit_mean,feature_synchronizedMethods_mean,feature_anonymousClassesQty_max,feature_totalFields_mean,feature_staticFields_mean,feature_maxNestedBlocks_std
algo_cosine_complete_15,feature_cbo_mean,feature_uniqueWordsQty_mean,feature_anonymousClassesQty_mean,feature_modifiers_max,feature_privateMethods_mean,feature_privateFields_mean,feature_maxNestedBlocks_mean,feature_subClassesQty_mean,feature_totalFields_mean,feature_staticFields_mean,feature_anonymousClassesQty_std,feature_finalFields_mean,feature_privateFields_std,feature_dit_mean,feature_staticMethods_mean,feature_rfc_mean,feature_anonymousClassesQty_sum,feature_cbo_std,feature_anonymousClassesQty_max,feature_modifiers_std
algo_cosine_complete_20,feature_totalFields_mean,feature_privateMethods_mean,feature_privateFields_mean,feature_privateFields_std,feature_finalFields_mean,feature_staticFields_mean,feature_cbo_mean,feature_maxNestedBlocks_std,feature_uniqueWordsQty_mean,feature_anonymousClassesQty_mean,feature_cbo_std,feature_anonymousClassesQty_sum,feature_maxNestedBlocks_mean,feature_totalFields_std,feature_rfc_mean,feature_anonymousClassesQty_std,feature_finalFields_std,feature_modifiers_max,feature_anonymousClassesQty_max,feature_privateFields_max
algo_cosine_complete_25,feature_privateFields_std,feature_maxNestedBlocks_std,feature_privateFields_mean,feature_privateMethods_mean,feature_maxNestedBlocks_max,feature_rfc_mean,feature_totalFields_mean,feature_cbo_std,feature_anonymousClassesQty_sum,feature_privateFields_max,feature_cbo_mean,feature_protectedMethods_std,feature_returnQty_mean,feature_maxNestedBlocks_mean,feature_uniqueWordsQty_mean,feature_rfc_std,feature_totalMethods_mean,feature_nosi_mean,feature_cbo_max,feature_comparisonsQty_mean
algo_cosine_complete_5,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_mean,feature_subClassesQty_mean,feature_staticMethods_mean,feature_anonymousClassesQty_std,feature_maxNestedBlocks_mean,feature_loc_mean,feature_subClassesQty_std,feature_dit_mean,feature_modifiers_mean,feature_anonymousClassesQty_max,feature_protectedFields_mean,feature_staticMethods_std,feature_abstractMethods_mean,feature_loopQty_mean,feature_uniqueWordsQty_mean,feature_loc_std,feature_cbo_mean,feature_mathOperationsQty_mean,feature_synchronizedMethods_mean
algo_cosine_complete_7,feature_subClassesQty_mean,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_mean,feature_staticMethods_mean,feature_anonymousClassesQty_std,feature_maxNestedBlocks_mean,feature_subClassesQty_std,feature_cbo_mean,feature_dit_mean,feature_loc_mean,feature_subClassesQty_sum,feature_synchronizedMethods_mean,feature_protectedFields_mean,feature_uniqueWordsQty_mean,feature_anonymousClassesQty_max,feature_modifiers_mean,feature_subClassesQty_max,feature_abstractMethods_mean,feature_staticMethods_std,feature_anonymousClassesQty_sum
algo_cosine_single_10,feature_staticMethods_mean,feature_staticMethods_std,feature_cbo_mean,feature_stringLiteralsQty_mean,feature_synchronizedMethods_mean,feature_dit_mean,feature_modifiers_max,feature_returnQty_mean,feature_abstractMethods_mean,feature_maxNestedBlocks_mean,feature_staticMethods_max,feature_modifiers_std,feature_stringLiteralsQty_std,feature_protectedFields_mean,feature_maxNestedBlocks_std,feature_privateFields_mean,feature_subClassesQty_mean,feature_publicMethods_mean,feature_mathOperationsQty_mean,feature_uniqueWordsQty_mean
algo_cosine_single_15,feature_modifiers_max,feature_modifiers_std,feature_dit_mean,feature_cbo_mean,feature_staticMethods_mean,feature_uniqueWordsQty_mean,feature_totalMethods_mean,feature_returnQty_mean,feature_maxNestedBlocks_mean,feature_uniqueWordsQty_std,feature_staticMethods_std,feature_maxNestedBlocks_std,feature_privateMethods_mean,feature_publicMethods_mean,feature_cbo_std,feature_modifiers_mean,feature_dit_std,feature_subClassesQty_mean,feature_wmc_mean,feature_subClassesQty_std
algo_cosine_single_20,feature_maxNestedBlocks_std,feature_privateFields_std,feature_totalMethods_mean,feature_maxNestedBlocks_max,feature_modifiers_max,feature_uniqueWordsQty_std,feature_staticMethods_mean,feature_returnQty_mean,feature_privateMethods_mean,feature_uniqueWordsQty_mean,feature_maxNestedBlocks_mean,feature_privateFields_mean,feature_totalFields_mean,feature_privateFields_max,feature_totalMethods_std,feature_publicMethods_mean,feature_wmc_mean,feature_rfc_mean,feature_cbo_std,feature_publicMethods_std
algo_cosine_single_25,feature_maxNestedBlocks_std,feature_maxNestedBlocks_max,feature_privateFields_std,feature_privateFields_max,feature_totalMethods_mean,feature_returnQty_mean,feature_staticMethods_mean,feature_privateFields_mean,feature_rfc_mean,feature_uniqueWordsQty_std,feature_wmc_mean,feature_privateMethods_mean,feature_totalMethods_std,feature_maxNestedBlocks_mean,feature_rfc_max,feature_assignmentsQty_mean,feature_publicMethods_mean,feature_cbo_std,feature_protectedFields_std,feature_variablesQty_mean
algo_cosine_single_5,feature_staticMethods_std,feature_staticMethods_mean,feature_staticMethods_max,feature_subClassesQty_mean,feature_stringLiteralsQty_mean,feature_synchronizedMethods_mean,feature_abstractMethods_mean,feature_stringLiteralsQty_std,feature_mathOperationsQty_mean,feature_protectedFields_mean,feature_defaultMethods_mean,feature_dit_mean,feature_defaultMethods_sum,feature_subClassesQty_std,feature_defaultMethods_std,feature_abstractMethods_std,feature_publicMethods_mean,feature_returnQty_mean,feature_defaultMethods_max,feature_cbo_mean
algo_cosine_single_7,feature_staticMethods_mean,feature_staticMethods_std,feature_stringLiteralsQty_mean,feature_synchronizedMethods_mean,feature_staticMethods_max,feature_abstractMethods_mean,feature_cbo_mean,feature_stringLiteralsQty_std,feature_subClassesQty_mean,feature_mathOperationsQty_mean,feature_returnQty_mean,feature_protectedFields_mean,feature_maxNestedBlocks_mean,feature_dit_mean,feature_publicMethods_mean,feature_privateFields_mean,feature_abstractMethods_std,feature_maxNestedBlocks_std,feature_defaultMethods_mean,feature_defaultMethods_sum
algo_euclidean_average_10,feature_anonymousClassesQty_mean,feature_subClassesQty_mean,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_std,feature_tryCatchQty_mean,feature_maxNestedBlocks_mean,feature_staticMethods_mean,feature_tryCatchQty_std,feature_subClassesQty_std,feature_loc_mean,feature_modifiers_mean,feature_publicMethods_mean,feature_uniqueWordsQty_mean,feature_anonymousClassesQty_max,feature_protectedFields_mean,feature_loopQty_mean,feature_variablesQty_mean,feature_synchronizedMethods_mean,feature_assignmentsQty_mean,feature_abstractMethods_mean
algo_euclidean_average_15,feature_modifiers_max,feature_modifiers_std,feature_uniqueWordsQty_mean,feature_subClassesQty_mean,feature_anonymousClassesQty_mean,feature_maxNestedBlocks_mean,feature_staticMethods_mean,feature_privateMethods_mean,feature_modifiers_mean,feature_dit_mean,feature_totalMethods_mean,feature_subClassesQty_std,feature_publicMethods_mean,feature_loc_mean,feature_anonymousClassesQty_std,feature_uniqueWordsQty_std,feature_rfc_mean,feature_cbo_mean,feature_variablesQty_mean,feature_tryCatchQty_mean
algo_euclidean_average_20,feature_maxNestedBlocks_std,feature_privateMethods_mean,feature_totalMethods_mean,feature_totalFields_mean,feature_uniqueWordsQty_mean,feature_uniqueWordsQty_std,feature_staticMethods_mean,feature_loc_mean,feature_maxNestedBlocks_mean,feature_publicMethods_mean,feature_privateFields_std,feature_modifiers_max,feature_variablesQty_mean,feature_returnQty_mean,feature_finalFields_mean,feature_wmc_mean,feature_privateFields_mean,feature_rfc_mean,feature_assignmentsQty_mean,feature_anonymousClassesQty_mean
algo_euclidean_average_25,feature_maxNestedBlocks_std,feature_totalMethods_mean,feature_maxNestedBlocks_max,feature_wmc_mean,feature_rfc_mean,feature_returnQty_mean,feature_privateFields_std,feature_assignmentsQty_mean,feature_variablesQty_mean,feature_uniqueWordsQty_std,feature_privateMethods_mean,feature_publicMethods_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_uniqueWordsQty_mean,feature_privateFields_mean,feature_totalMethods_std,feature_rfc_std,feature_nosi_mean,feature_totalFields_mean
algo_euclidean_average_5,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_mean,feature_subClassesQty_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_anonymousClassesQty_std,feature_staticMethods_std,feature_anonymousClassesQty_max,feature_subClassesQty_std,feature_protectedFields_mean,feature_loc_mean,feature_synchronizedMethods_mean,feature_publicMethods_mean,feature_loopQty_mean,feature_dit_mean,feature_maxNestedBlocks_std,feature_tryCatchQty_std,feature_tryCatchQty_mean,feature_nosi_mean,feature_cbo_mean
algo_euclidean_average_7,feature_anonymousClassesQty_mean,feature_subClassesQty_mean,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_std,feature_maxNestedBlocks_mean,feature_subClassesQty_std,feature_staticMethods_mean,feature_tryCatchQty_mean,feature_anonymousClassesQty_max,feature_tryCatchQty_std,feature_loc_mean,feature_protectedFields_mean,feature_publicMethods_mean,feature_synchronizedMethods_mean,feature_staticMethods_std,feature_tryCatchQty_max,feature_uniqueWordsQty_mean,feature_modifiers_mean,feature_loopQty_mean,feature_variablesQty_mean
algo_euclidean_complete_10,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_mean,feature_cbo_mean,feature_anonymousClassesQty_max,feature_anonymousClassesQty_std,feature_anonymousClassesQty_sum,feature_staticMethods_mean,feature_privateFields_mean,feature_stringLiteralsQty_std,feature_staticMethods_std,feature_subClassesQty_mean,feature_subClassesQty_sum,feature_subClassesQty_max,feature_privateMethods_mean,feature_abstractMethods_mean,feature_maxNestedBlocks_mean,feature_maxNestedBlocks_std,feature_abstractMethods_sum,feature_privateFields_std,feature_modifiers_max
algo_euclidean_complete_15,feature_modifiers_max,feature_modifiers_std,feature_cbo_mean,feature_uniqueWordsQty_mean,feature_uniqueWordsQty_std,feature_dit_mean,feature_privateMethods_mean,feature_subClassesQty_mean,feature_subClassesQty_std,feature_modifiers_mean,feature_cbo_std,feature_totalMethods_mean,feature_dit_std,feature_anonymousClassesQty_mean,feature_maxNestedBlocks_mean,feature_anonymousClassesQty_max,feature_rfc_std,feature_rfc_mean,feature_staticMethods_std,feature_staticMethods_mean
algo_euclidean_complete_20,feature_modifiers_max,feature_totalMethods_mean,feature_uniqueWordsQty_std,feature_maxNestedBlocks_std,feature_maxNestedBlocks_max,feature_totalMethods_std,feature_privateMethods_mean,feature_totalFields_mean,feature_privateFields_std,feature_uniqueWordsQty_mean,feature_cbo_std,feature_publicMethods_std,feature_wmc_mean,feature_dit_std,feature_publicMethods_mean,feature_modifiers_std,feature_returnQty_mean,feature_rfc_mean,feature_finalFields_mean,feature_variablesQty_mean
