0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
algo_euclidean_complete_25,feature_maxNestedBlocks_max,feature_maxNestedBlocks_std,feature_privateFields_std,feature_totalMethods_mean,feature_uniqueWordsQty_std,feature_privateFields_max,feature_wmc_mean,feature_protectedFields_std,feature_rfc_mean,feature_returnQty_mean,feature_totalMethods_std,feature_privateMethods_mean,feature_variablesQty_mean,feature_assignmentsQty_mean,feature_rfc_max,feature_comparisonsQty_mean,feature_modifiers_max,feature_dit_std,feature_rfc_std,feature_cbo_std
algo_euclidean_complete_5,feature_anonymousClassesQty_mean,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_std,feature_anonymousClassesQty_max,feature_subClassesQty_mean,feature_anonymousClassesQty_sum,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_subClassesQty_max,feature_subClassesQty_sum,feature_subClassesQty_std,feature_cbo_mean,feature_loc_mean,feature_privateFields_mean,feature_totalFields_std,feature_maxNestedBlocks_std,feature_loc_std,feature_staticMethods_std,feature_abstractMethods_mean,feature_stringLiteralsQty_std
algo_euclidean_complete_7,feature_anonymousClassesQty_mean,feature_anonymousClassesQty_max,feature_stringLiteralsQty_mean,feature_anonymousClassesQty_std,feature_anonymousClassesQty_sum,feature_subClassesQty_mean,feature_subClassesQty_sum,feature_subClassesQty_max,feature_subClassesQty_std,feature_staticMethods_mean,feature_cbo_mean,feature_privateFields_mean,feature_abstractMethods_sum,feature_stringLiteralsQty_std,feature_abstractMethods_mean,feature_staticMethods_std,feature_stringLiteralsQty_sum,feature_finalMethods_sum,feature_maxNestedBlocks_mean,feature_totalFields_max
algo_euclidean_single_10,feature_staticMethods_mean,feature_cbo_mean,feature_staticMethods_std,feature_maxNestedBlocks_mean,feature_synchronizedMethods_mean,feature_stringLiteralsQty_mean,feature_dit_mean,feature_privateFields_mean,feature_uniqueWordsQty_mean,feature_returnQty_mean,feature_privateFields_std,feature_staticMethods_max,feature_publicMethods_mean,feature_protectedFields_mean,feature_maxNestedBlocks_std,feature_synchronizedMethods_sum,feature_stringLiteralsQty_std,feature_uniqueWordsQty_std,feature_totalMethods_mean,feature_anonymousClassesQty_sum
algo_euclidean_single_15,feature_modifiers_max,feature_dit_mean,feature_modifiers_std,feature_cbo_mean,feature_uniqueWordsQty_mean,feature_staticMethods_mean,feature_maxNestedBlocks_mean,feature_uniqueWordsQty_std,feature_totalMethods_mean,feature_subClassesQty_mean,feature_returnQty_mean,feature_privateMethods_mean,feature_publicMethods_mean,feature_staticMethods_std,feature_maxNestedBlocks_std,feature_dit_std,feature_subClassesQty_std,feature_cbo_std,feature_synchronizedMethods_mean,feature_modifiers_mean
algo_euclidean_single_20,feature_maxNestedBlocks_std,feature_totalMethods_mean,feature_privateFields_std,feature_uniqueWordsQty_std,feature_maxNestedBlocks_max,feature_returnQty_mean,feature_modifiers_max,feature_staticMethods_mean,feature_uniqueWordsQty_mean,feature_maxNestedBlocks_mean,feature_privateMethods_mean,feature_publicMethods_mean,feature_totalFields_mean,feature_privateFields_max,feature_privateFields_mean,feature_totalMethods_std,feature_dit_std,feature_wmc_mean,feature_publicMethods_std,feature_assignmentsQty_mean
algo_euclidean_single_25,feature_maxNestedBlocks_std,feature_maxNestedBlocks_max,feature_privateFields_std,feature_totalMethods_mean,feature_privateFields_max,feature_returnQty_mean,feature_rfc_mean,feature_staticMethods_mean,feature_privateFields_mean,feature_wmc_mean,feature_uniqueWordsQty_std,feature_assignmentsQty_mean,feature_publicMethods_mean,feature_maxNestedBlocks_mean,feature_privateMethods_mean,feature_totalMethods_std,feature_protectedFields_std,feature_variablesQty_mean,feature_rfc_max,feature_protectedFields_mean
algo_euclidean_single_5,feature_staticMethods_mean,feature_staticMethods_std,feature_staticMethods_max,feature_synchronizedMethods_mean,feature_stringLiteralsQty_mean,feature_subClassesQty_mean,feature_stringLiteralsQty_std,feature_dit_mean,feature_maxNestedBlocks_mean,feature_anonymousClassesQty_sum,feature_cbo_mean,feature_protectedFields_mean,feature_anonymousClassesQty_max,feature_privateFields_mean,feature_mathOperationsQty_mean,feature_synchronizedMethods_sum,feature_synchronizedMethods_std,feature_anonymousClassesQty_mean,feature_publicMethods_mean,feature_staticMethods_sum
algo_euclidean_single_7,feature_staticMethods_mean,feature_staticMethods_std,feature_synchronizedMethods_mean,feature_staticMethods_max,feature_dit_mean,feature_maxNestedBlocks_mean,feature_stringLiteralsQty_mean,feature_cbo_mean,feature_protectedFields_mean,feature_stringLiteralsQty_std,feature_anonymousClassesQty_sum,feature_publicMethods_mean,feature_privateFields_mean,feature_returnQty_mean,feature_synchronizedMethods_sum,feature_uniqueWordsQty_mean,feature_privateFields_std,feature_staticMethods_sum,feature_synchronizedMethods_std,feature_mathOperationsQty_mean
algo_manhattan_average_10,feature_modifiers_max,feature_staticMethods_std,feature_stringLiteralsQty_std,feature_stringLiteralsQty_max,feature_staticMethods_max,feature_subClassesQty_max,feature_anonymousClassesQty_sum,feature_privateMethods_mean,feature_subClassesQty_sum,feature_cbo_mean,feature_uniqueWordsQty_std,feature_comparisonsQty_std,feature_modifiers_std,feature_mathOperationsQty_std,feature_abstractMethods_mean,feature_stringLiteralsQty_mean,feature_abstractMethods_sum,feature_finalFields_sum,feature_privateMethods_sum,feature_comparisonsQty_mean
algo_manhattan_average_15,feature_modifiers_max,feature_modifiers_std,feature_uniqueWordsQty_std,feature_dit_mean,feature_dit_std,feature_privateMethods_mean,feature_uniqueWordsQty_mean,feature_cbo_mean,feature_cbo_std,feature_subClassesQty_std,feature_modifiers_mean,feature_staticMethods_std,feature_totalMethods_mean,feature_maxNestedBlocks_max,feature_subClassesQty_mean,feature_uniqueWordsQty_max,feature_rfc_max,feature_protectedFields_std,feature_comparisonsQty_mean,feature_wmc_mean
algo_manhattan_average_20,feature_modifiers_max,feature_maxNestedBlocks_max,feature_uniqueWordsQty_std,feature_privateMethods_mean,feature_privateFields_std,feature_privateFields_max,feature_totalMethods_std,feature_totalMethods_mean,feature_totalFields_mean,feature_dit_std,feature_maxNestedBlocks_std,feature_cbo_std,feature_protectedFields_std,feature_rfc_max,feature_finalFields_mean,feature_uniqueWordsQty_max,feature_modifiers_std,feature_uniqueWordsQty_mean,feature_publicMethods_std,feature_comparisonsQty_mean
algo_manhattan_average_25,feature_maxNestedBlocks_max,feature_privateFields_std,feature_privateFields_max,feature_maxNestedBlocks_std,feature_protectedFields_std,feature_rfc_max,feature_modifiers_max,feature_privateMethods_mean,feature_uniqueWordsQty_std,feature_totalMethods_mean,feature_dit_std,feature_totalMethods_std,feature_cbo_std,feature_comparisonsQty_mean,feature_uniqueWordsQty_max,feature_wmc_mean,feature_cbo_max,feature_returnQty_mean,feature_publicMethods_max,feature_privateFields_mean
algo_manhattan_average_5,feature_anonymousClassesQty_sum,feature_subClassesQty_max,feature_staticMethods_std,feature_subClassesQty_sum,feature_staticMethods_max,feature_anonymousClassesQty_max,feature_stringLiteralsQty_max,feature_stringLiteralsQty_std,feature_staticMethods_sum,feature_stringLiteralsQty_sum,feature_abstractMethods_sum,feature_totalFields_max,feature_modifiers_sum,feature_privateMethods_sum,feature_finalFields_sum,feature_uniqueWordsQty_sum,feature_staticFields_sum,feature_totalFields_sum,feature_privateFields_sum,feature_loc_sum
algo_manhattan_average_7,feature_staticMethods_std,feature_anonymousClassesQty_sum,feature_subClassesQty_max,feature_staticMethods_max,feature_subClassesQty_sum,feature_stringLiteralsQty_max,feature_stringLiteralsQty_std,feature_privateMethods_sum,feature_modifiers_sum,feature_staticMethods_sum,feature_finalFields_sum,feature_stringLiteralsQty_sum,feature_abstractMethods_sum,feature_staticFields_sum,feature_anonymousClassesQty_max,feature_totalFields_max,feature_uniqueWordsQty_sum,feature_totalFields_sum,feature_protectedMethods_max,feature_privateFields_sum
algo_manhattan_complete_10,feature_staticMethods_std,feature_stringLiteralsQty_std,feature_staticMethods_mean,feature_anonymousClassesQty_max,feature_anonymousClassesQty_sum,feature_staticMethods_max,feature_stringLiteralsQty_max,feature_stringLiteralsQty_mean,feature_uniqueWordsQty_std,feature_subClassesQty_max,feature_subClassesQty_std,feature_anonymousClassesQty_mean,feature_anonymousClassesQty_std,feature_subClassesQty_mean,feature_abstractMethods_mean,feature_mathOperationsQty_mean,feature_mathOperationsQty_std,feature_tryCatchQty_max,feature_abstractMethods_std,feature_modifiers_std
algo_manhattan_complete_15,feature_modifiers_max,feature_modifiers_std,feature_uniqueWordsQty_std,feature_uniqueWordsQty_mean,feature_dit_mean,feature_cbo_mean,feature_staticMethods_std,feature_modifiers_mean,feature_totalMethods_mean,feature_staticMethods_mean,feature_privateMethods_mean,feature_wmc_mean,feature_subClassesQty_std,feature_subClassesQty_mean,feature_comparisonsQty_mean,feature_rfc_std,feature_dit_std,feature_cbo_std,feature_publicMethods_mean,feature_returnQty_mean
algo_manhattan_complete_20,feature_modifiers_max,feature_privateFields_std,feature_uniqueWordsQty_std,feature_privateMethods_mean,feature_totalFields_mean,feature_maxNestedBlocks_std,feature_maxNestedBlocks_max,feature_privateFields_max,feature_totalMethods_mean,feature_totalMethods_std,feature_finalFields_mean,feature_privateFields_mean,feature_comparisonsQty_mean,feature_uniqueWordsQty_mean,feature_cbo_std,feature_publicMethods_std,feature_anonymousClassesQty_sum,feature_wmc_mean,feature_rfc_max,feature_returnQty_mean
algo_manhattan_complete_25,feature_maxNestedBlocks_max,feature_privateFields_std,feature_privateFields_max,feature_maxNestedBlocks_std,feature_uniqueWordsQty_std,feature_modifiers_max,feature_privateMethods_mean,feature_rfc_max,feature_comparisonsQty_mean,feature_totalMethods_mean,feature_privateFields_mean,feature_totalMethods_std,feature_protectedFields_std,feature_anonymousClassesQty_sum,feature_wmc_mean,feature_cbo_std,feature_rfc_std,feature_publicMethods_max,feature_rfc_mean,feature_uniqueWordsQty_max
algo_manhattan_complete_5,feature_anonymousClassesQty_sum,feature_anonymousClassesQty_max,feature_anonymousClassesQty_mean,feature_anonymousClassesQty_std,feature_stringLiteralsQty_mean,feature_subClassesQty_max,feature_subClassesQty_mean,feature_staticMethods_std,feature_subClassesQty_sum,feature_stringLiteralsQty_std,feature_staticMethods_mean,feature_totalFields_std,feature_subClassesQty_std,feature_totalFields_max,feature_finalMethods_sum,feature_privateFields_mean,feature_staticFields_max,feature_finalFields_max,feature_publicFields_mean,feature_stringLiteralsQty_sum
algo_manhattan_complete_7,feature_anonymousClassesQty_sum,feature_anonymousClassesQty_max,feature_stringLiteralsQty_mean,feature_subClassesQty_max,feature_abstractMethods_mean,feature_stringLiteralsQty_std,feature_anonymousClassesQty_std,feature_anonymousClassesQty_mean,feature_mathOperationsQty_mean,feature_subClassesQty_std,feature_subClassesQty_mean,feature_mathOperationsQty_std,feature_abstractMethods_std,feature_abstractMethods_sum,feature_subClassesQty_sum,feature_staticMethods_std,feature_tryCatchQty_max,feature_totalFields_max,feature_protectedFields_mean,feature_tryCatchQty_sum
algo_manhattan_single_10,feature_staticMethods_std,feature_stringLiteralsQty_std,feature_modifiers_max,feature_uniqueWordsQty_std,feature_stringLiteralsQty_max,feature_staticMethods_max,feature_subClassesQty_max,feature_mathOperationsQty_std,feature_subClassesQty_std,feature_parenthesizedExpsQty_std,feature_mathOperationsQty_mean,feature_parenthesizedExpsQty_mean,feature_anonymousClassesQty_sum,feature_modifiers_std,feature_abstractMethods_mean,feature_dit_mean,feature_tryCatchQty_max,feature_privateMethods_mean,feature_protectedFields_std,feature_tryCatchQty_sum
algo_manhattan_single_15,feature_modifiers_max,feature_modifiers_std,feature_uniqueWordsQty_std,feature_dit_mean,feature_dit_std,feature_privateMethods_mean,feature_uniqueWordsQty_mean,feature_cbo_mean,feature_subClassesQty_std,feature_cbo_std,feature_modifiers_mean,feature_maxNestedBlocks_max,feature_staticMethods_std,feature_totalMethods_mean,feature_subClassesQty_mean,feature_uniqueWordsQty_max,feature_protectedFields_std,feature_privateFields_max,feature_comparisonsQty_mean,feature_rfc_max
algo_manhattan_single_20,feature_modifiers_max,feature_maxNestedBlocks_max,feature_uniqueWordsQty_std,feature_privateMethods_mean,feature_privateFields_std,feature_privateFields_max,feature_dit_std,feature_totalMethods_mean,feature_totalFields_mean,feature_totalMethods_std,feature_protectedFields_std,feature_maxNestedBlocks_std,feature_cbo_std,feature_uniqueWordsQty_max,feature_rfc_max,feature_modifiers_std,feature_finalFields_mean,feature_uniqueWordsQty_mean,feature_publicMethods_std,feature_comparisonsQty_mean
algo_manhattan_single_25,feature_maxNestedBlocks_max,feature_privateFields_max,feature_privateFields_std,feature_maxNestedBlocks_std,feature_protectedFields_std,feature_modifiers_max,feature_rfc_max,feature_uniqueWordsQty_std,feature_totalMethods_mean,feature_privateMethods_mean,feature_dit_std,feature_totalMethods_std,feature_cbo_std,feature_comparisonsQty_mean,feature_uniqueWordsQty_max,feature_wmc_mean,feature_returnQty_mean,feature_cbo_max,feature_variablesQty_mean,feature_rfc_std
algo_manhattan_single_5,feature_staticMethods_std,feature_anonymousClassesQty_sum,feature_subClassesQty_max,feature_staticMethods_max,feature_subClassesQty_sum,feature_stringLiteralsQty_std,feature_stringLiteralsQty_max,feature_cbo_max,feature_abstractMethods_sum,feature_modifiers_sum,feature_stringLiteralsQty_sum,feature_cbo_std,feature_cbo_mean,feature_modifiers_max,feature_privateMethods_sum,feature_anonymousClassesQty_max,feature_staticMethods_sum,feature_finalFields_sum,feature_uniqueWordsQty_sum,feature_totalFields_max
algo_manhattan_single_7,feature_staticMethods_std,feature_subClassesQty_max,feature_stringLiteralsQty_std,feature_staticMethods_max,feature_anonymousClassesQty_sum,feature_stringLiteralsQty_max,feature_subClassesQty_sum,feature_abstractMethods_sum,feature_cbo_max,feature_cbo_mean,feature_modifiers_sum,feature_modifiers_max,feature_subClassesQty_std,feature_cbo_std,feature_privateMethods_sum,feature_finalFields_sum,feature_parenthesizedExpsQty_std,feature_mathOperationsQty_std,feature_stringLiteralsQty_sum,feature_abstractMethods_mean
