project_name,Bugs,Vulnerabilities,HotspotsReviewed,CodeSmells,Coverage,Duplications,Lines,Bugs_score,Vulnerabilities_score,HotspotsReviewed_score,CodeSmells_score,Coverage_score,Duplications_score,Lines_score
bkromhout-realm-java,137,1,0,4500,0,9.6,52000,E,C,E,A,E,C,M
btraceio-btrace,78,0,0,2300,0,2.5,46000,E,A,E,A,E,A,M
bytedeco-javacpp,301,0,0,1900,0,5.9,27000,E,A,E,A,E,C,M
codecentric-spring-boot-admin,152,0,0,1200,0,1.8,20000,E,A,E,A,E,A,M
codenvy-legacy-che-plugins,548,8,0,36000,0,11.1,477000,E,E,E,A,E,D,L
coobird-thumbnailator,70,0,0,1800,0,10.2,21000,E,A,E,A,E,D,M
dropwizard-dropwizard,19,6,0,1800,0,3.2,61000,E,D,E,A,E,B,M
dropwizard-metrics,27,1,0,940,0,23.4,36000,D,D,E,A,E,E,M
evant-gradle-retrolambda,1,0,100,190,0,26.8,2000,E,A,A,A,E,E,S
facebook-facebook-android-sdk,88,8,0,2100,0,1.6,73000,E,C,E,A,E,A,M
facebook-facebook-java-business-sdk,26,0,0,25000,0,36.8,381000,E,A,E,A,E,E,L
facebook-litho,257,0,0,38000,0,30.9,568000,E,A,E,A,E,E,XL
facebook-react-native-fbsdk,0,0,0,30,0,0,1500,A,A,E,A,E,A,S
google-cdep,49,0,0,1400,0,4.6,16000,E,A,E,A,E,B,M
google-dagger,46,1,0,3400,0,4.1,104000,E,C,E,A,E,B,L
google-gitiles,16,0,0,567,0,2.9,16000,E,A,E,A,E,A,M
google-openrtb,6,0,0,41,0,0,2300,C,A,E,A,E,A,S
google-openrtb-doubleclick,3,0,0,85,0,0,2800,C,A,E,A,E,A,S
grpc-grpc-java,253,10,0,7800,0,7.7,203000,E,D,E,A,E,D,L
havarunner-havarunner,1,0,0,351,0,0.9,3600,C,A,E,A,E,A,S
immutables-immutables,54,0,0,1700,0,2.2,71000,D,A,E,A,E,A,M
ionic-team-capacitor,3,1,0,219,0,0.4,6200,E,D,E,A,E,A,S
jankotek-mapdb,151,0,0,2300,0,6.7,20000,E,A,E,A,E,C,M
javafunk-funk,29,0,0,3000,0,1.3,26000,C,A,E,B,E,A,M
javaparser-javaparser,2200,0,0,12000,0,23.6,187000,E,A,E,A,E,E,L
permissions-dispatcher-PermissionsDispatcher,1,0,0,493,0,27,14000,C,A,E,A,E,E,M
pxb1988-dex2jar,34,0,0,2500,0,2.7,36000,E,A,E,A,E,A,M
web3j-web3j,90,1,0,2200,0,5.7,48000,E,D,E,A,E,C,M